,总收益,年化收益,年化波动率,夏普比率,最大回撤率,最大回撤起始日,最大回撤结束日,总交易次数,胜率,盈亏比,累计手续费,params
样本外,-0.018201599763451703,-0.006535294055867613,0.19555131761720315,-0.1868322571335797,0.04319325878637243,2021-02-10 15:00:00,2022-10-31 10:00:00,11293,0.46657221287523243,1.1140294563392814,0.009667043433104663,fct_new
总体,0.05645398919184119,0.0032072000598504236,0.12900088047298108,-0.2076947059734314,0.16688739517497794,2007-01-08 11:00:00,2008-09-18 11:15:00,69150,0.44587129428778016,1.3373952787342234,0.1285361214456971,fct_new
2005,-0.00419468667349443,-0.004960819924624049,0.1964754727391921,-0.1779398692224152,0.014884736012231906,2005-02-25 11:30:00,2005-06-03 13:30:00,3407,0.33577927795714707,1.9344777999580511,0.00033729404261858366,fct_abs
2006,0.057549737085553554,0.06025411532926883,0.16458616827540454,0.18381930660566909,0.009063825193966866,2006-07-03 15:00:00,2006-08-07 14:45:00,3855,0.45343709468223087,1.4513687987353843,0.0006795331679157897,fct_abs
2007,0.05362983249215447,0.05590678810964822,0.2631668884013118,0.09844243045554467,0.014609368689785605,2007-06-01 11:30:00,2007-06-05 11:00:00,3871,0.5003874967708603,1.1080224163283772,0.0009671719668303872,fct_abs
2008,-0.06623238428883238,-0.06779178623347215,79.69146834263523,-0.001227129933320016,0.07806291655685647,2008-01-14 13:45:00,2008-10-28 11:15:00,3935,0.4432020330368488,1.130926264294778,0.001036577621073145,fct_abs
2009,0.043874590559692894,0.04534524210168067,0.2593774390350006,0.05916182285850225,0.020786814692943193,2009-08-03 14:45:00,2009-08-31 14:45:00,3903,0.5001281065846784,1.1011801698012649,0.00020907657563151572,fct_abs
2010,-0.01587220233913955,-0.016522630575316333,0.32032067154703153,-0.1452376780762511,0.0233398538096944,2010-01-04 10:00:00,2010-07-02 13:30:00,3871,0.4438129682252648,1.193608299629137,0.00018578943983875174,fct_abs
2011,-0.012706427706236645,-0.013120287069495418,0.21439962183780695,-0.20112109666926495,0.02131931196316579,2011-04-18 10:45:00,2011-12-28 13:15:00,3903,0.4173712528823982,1.3280898694746683,0.00017552307449485605,fct_abs
2012,0.010749753171775955,0.011150103766182973,0.17086831157890975,-0.11031826825954115,0.011870781590335246,2012-05-04 14:45:00,2012-12-04 09:45:00,3887,0.4232055569848212,1.4306572437492506,0.00015889910578163058,fct_abs
2013,-0.008522113440462609,-0.009021146436648975,0.24866924292939185,-0.15691987467758042,0.023384782473744616,2013-02-06 14:00:00,2013-06-25 11:30:00,3807,0.4363015497767271,1.2568188411484849,0.0002003419647120062,fct_abs
2014,0.03426347679098085,0.03525949545210971,0.2179828320137941,0.02412802606297403,0.009171206035706854,2014-12-09 11:30:00,2014-12-10 10:30:00,3919,0.4258739474355703,1.521352851334207,0.00031947234843669145,fct_abs
2015,0.005936475417713805,0.006131709492846582,0.4087857615370208,-0.05838826288227223,0.03355343347972719,2015-06-08 14:30:00,2015-08-25 14:30:00,3903,0.47450678964898796,1.1394617406326333,0.0010595718057717217,fct_abs
2016,-0.0008513662262481514,-0.0008792675976866393,0.19334734010620863,-0.15970877892979643,0.015183169140699285,2016-01-04 09:45:00,2016-02-29 13:30:00,3903,0.4235203689469639,1.3554229384638274,0.00014216455746306748,fct_abs
2017,0.016320157397773594,0.016859730498725245,0.10555166283882855,-0.12449135473440344,0.004830746813533219,2017-11-22 11:00:00,2017-12-15 14:15:00,3903,0.4368434537535229,1.4250245212883914,0.00011887429362980694,fct_abs
2018,-0.013277251442162297,-0.013765601518968551,0.23062493612118234,-0.18976959844434094,0.02121896469643556,2018-01-24 13:15:00,2018-12-25 11:15:00,3887,0.4365834834062259,1.2301708721128568,0.00015119469960003188,fct_abs
2019,0.021974616352910425,0.022703213945671985,0.14585627272138363,-0.050027235155435654,0.008301336501773043,2019-04-19 15:00:00,2019-05-27 10:45:00,3903,0.45759672047143224,1.305595717220784,0.00014487280479505367,fct_abs
2020,0.013513484232628548,0.01401747553188959,0.21325705906675863,-0.07494487890835629,0.01349002102241398,2020-01-02 10:30:00,2020-03-19 10:45:00,3887,0.47465912014406997,1.166220660294716,0.00019304102741135137,fct_abs
2021,-0.00546623717416761,-0.005668115570968135,0.19447167317009892,-0.1834103393545148,0.01823825393898503,2021-02-10 15:00:00,2021-08-20 13:30:00,3887,0.4710573707229226,1.0984984493310246,0.00013099790163910983,fct_abs
2022,-0.013195048792988495,-0.015168192599800512,0.24511289630406208,-0.1842750556207759,0.022303557080403724,2022-01-05 10:45:00,2022-10-31 10:00:00,3502,0.4523129640205597,1.1462838875832218,0.00015120604248981833,fct_abs
样本内,0.12753511607274648,0.00839795079187744,0.13787200403224129,-0.1566819120368406,0.07175212687379726,2007-10-15 15:00:00,2008-10-28 11:15:00,57856,0.4414753871681416,1.2989232570845775,0.005887733612522869,fct_abs
样本外,-0.00514896401262499,-0.0018409251329294385,0.19555131761720315,-0.16282644126826537,0.03493446235509303,2021-02-10 15:00:00,2022-10-31 10:00:00,11293,0.46657221287523243,1.134860700354586,0.000475591610967069,fct_abs
总体,0.1223861339815151,0.006754578945572298,0.12900088047298108,-0.1801958325338438,0.07040155669335958,2007-10-15 15:00:00,2008-10-28 11:15:00,69150,0.44556760665220535,1.2718287726417836,0.006363343302096271,fct_abs
